CustomerID,Name,Email,Gender,Age,City,MaritalStatus,NumChildren,JoinDate,Recency,Monetary,Frequency,R_Score,F_Score,M_Score,RFM_Score,Segment,Age_Group
CUST10051,Mahika Kurian,indransdass@yahoo.com,Not Disclosed,68,Bangalore,Divorced,1,2024-03-20,23,24862.97,23,2,3,4,234,At Risk,60+
CUST10052,Bhamini Sangha,veer82@hotmail.com,Female,61,Delhi,Widowed,3,2021-07-02,114,22263.09,23,5,3,3,533,Loyal Customers,60+
CUST10053,Eshani Bath,deolsara@gmail.com,Female,74,Jaipur,Widowed,2,2023-09-05,29,41674.56,30,3,5,5,355,Loyal Customers,60+
CUST10054,Ahana  Varghese,bsuresh@butala-gaba.info,Not Disclosed,33,Delhi,Single,0,2021-03-02,20,36861.79,33,2,5,5,255,At Risk,30-45
CUST10055,Lakshit Bhasin,qbhargava@yahoo.com,Male,28,Jaipur,Married,0,2021-02-10,5,26342.37,27,1,4,4,144,At Risk,<30
CUST10056,Uthkarsh Shere,evakanda@anne.org,Female,56,Jaipur,Divorced,1,2021-10-03,32,32921.23,30,3,5,5,355,Loyal Customers,45-60
CUST10057,Lagan Chadha,hrishitachaudhry@yahoo.com,Female,25,Ahmedabad,Married,3,2021-08-09,131,21213.26,21,5,2,2,522,Potential Loyalists,<30
CUST10058,Pihu Kapoor,ayesha61@mangal.com,Not Disclosed,67,Pune,Married,1,2021-11-24,61,22180.19,24,4,3,3,433,Loyal Customers,60+
CUST10059,Zara Arora,mahajanritvik@sidhu.com,Male,38,Mumbai,Widowed,0,2021-10-13,19,21670.18,23,2,3,3,233,At Risk,30-45
CUST10060,Kaira Swaminathan,rkrishnamurthy@yahoo.com,Male,71,Bangalore,Divorced,0,2020-11-22,32,29647.63,26,3,4,5,345,Loyal Customers,60+
CUST10061,Aarav Bhatia,tgill@hotmail.com,Not Disclosed,68,Kolkata,Single,1,2023-10-20,5,19094.82,21,1,2,2,122,Lost,60+
CUST10062,Vardaniya Setty,sabharwaluthkarsh@yahoo.com,Male,54,Delhi,Divorced,1,2022-04-10,18,30194.73,27,2,4,5,245,At Risk,45-60
CUST10063,Ranbir Ravi,hrama@sharma-sawhney.com,Female,54,Jaipur,Single,1,2021-06-10,72,19584.72,22,4,2,2,422,Potential Loyalists,45-60
CUST10064,Alisha Rao,eshani06@kala.org,Female,24,Mumbai,Divorced,0,2023-07-25,33,20293.07,26,3,4,2,342,Others,<30
CUST10065,Bhamini Sharma,mohanlal06@rau.biz,Not Disclosed,18,Delhi,Widowed,0,2023-01-22,104,15173.99,13,5,1,1,511,Others,<30
CUST10066,Jayesh Sinha,ghoshprerak@jha.net,Male,30,Hyderabad,Widowed,0,2023-11-26,26,16980.34,19,3,1,1,311,Others,<30
CUST10067,Anahi Thaman,dchad@hotmail.com,Female,28,Hyderabad,Married,2,2021-11-12,178,28540.52,27,5,4,5,545,Champions,<30
CUST10068,Diya Bawa,goeldarshit@hotmail.com,Male,45,Kolkata,Divorced,1,2020-10-07,35,26811.92,20,3,2,4,324,Big Spenders,30-45
CUST10069,Ivan Kulkarni,iyermyra@devi.com,Not Disclosed,48,Chennai,Single,0,2022-06-16,7,29745.91,27,1,4,5,145,At Risk,45-60
CUST10070,Miraan Wali,darshit18@hotmail.com,Female,20,Mumbai,Single,2,2022-10-27,28,23412.36,25,3,4,3,343,Loyal Customers,<30
CUST10071,Diya Mallick,rohansachdeva@saxena.com,Female,64,Lucknow,Divorced,1,2022-02-20,50,21414.22,27,4,4,3,443,Loyal Customers,60+
CUST10072,Vihaan Mand,anyasubramanian@yahoo.com,Female,43,Delhi,Single,3,2022-02-01,62,19269.82,20,4,2,2,422,Potential Loyalists,30-45
CUST10073,Saanvi Choudhry,nitaraaurora@hotmail.com,Not Disclosed,47,Delhi,Divorced,0,2024-04-05,7,25019.24,22,1,2,4,124,Lost,45-60
CUST10074,Adah Sidhu,kanav12@kapadia.com,Not Disclosed,67,Jaipur,Widowed,2,2022-04-15,73,15022.48,18,4,1,1,411,Others,60+
CUST10075,Amira Lall,vanyabiswas@kannan.biz,Female,29,Jaipur,Married,1,2023-02-25,30,14250.63,16,3,1,1,311,Others,<30
CUST10076,Saanvi Chauhan,beramanikya@yahoo.com,Male,41,Delhi,Divorced,0,2021-08-06,16,34412.15,27,2,4,5,245,At Risk,30-45
CUST10077,Divyansh Chander,tailorkimaya@walia.com,Female,23,Lucknow,Divorced,3,2021-12-10,145,15500.23,13,5,1,1,511,Others,<30
CUST10078,Shlok Saini,rameshrania@gmail.com,Female,37,Mumbai,Divorced,0,2022-09-05,171,19157.39,21,5,2,2,522,Potential Loyalists,30-45
CUST10079,Yakshit Dada,wgulati@gmail.com,Not Disclosed,75,Ahmedabad,Married,1,2020-12-23,183,27773.87,25,5,4,4,544,Champions,60+
CUST10080,Raunak Kashyap,alishasehgal@yahoo.com,Not Disclosed,57,Lucknow,Single,0,2021-07-23,162,15268.83,14,5,1,1,511,Others,45-60
CUST10081,Kiara Bhakta,bajajabram@varughese.com,Male,69,Hyderabad,Widowed,0,2021-12-23,19,25631.41,28,2,5,4,254,At Risk,60+
CUST10082,Kavya Dhawan,wbuch@borra.com,Not Disclosed,73,Delhi,Single,0,2024-05-09,37,31861.25,31,3,5,5,355,Loyal Customers,60+
CUST10083,Nitya Madan,idatta@kashyap.com,Male,36,Chennai,Widowed,1,2022-03-22,77,24797.15,24,4,3,4,434,Loyal Customers,30-45
CUST10084,Armaan Loyal,arnavdevan@kalita.com,Male,24,Jaipur,Divorced,0,2024-06-05,18,20105.38,20,2,2,2,222,New Customers,<30
CUST10085,Navya Bhattacharyya,nitarakapur@yahoo.com,Not Disclosed,29,Bangalore,Married,4,2020-09-09,39,22091.69,24,3,3,3,333,Loyal Customers,<30
CUST10086,Pranay Rege,bijuraja@chahal.org,Female,37,Delhi,Divorced,0,2021-12-23,11,21872.11,23,1,3,3,133,At Risk,30-45
CUST10087,Sumer Mahal,riyawable@hotmail.com,Male,27,Jaipur,Single,2,2023-07-18,1,15909.34,18,1,1,1,111,Lost,<30
CUST10088,Riya Deol,jayesh12@chaudry.com,Not Disclosed,69,Jaipur,Married,0,2022-05-18,2,24331.62,22,1,2,3,123,Lost,60+
CUST10089,Drishya Keer,dugararnav@gmail.com,Female,52,Bangalore,Single,2,2020-10-19,126,17913.55,23,5,3,1,531,Others,45-60
CUST10090,Ahana  Salvi,tsingh@arora-shan.net,Not Disclosed,33,Ahmedabad,Single,2,2022-11-01,26,25428.010000000002,26,3,4,4,344,Loyal Customers,30-45
CUST10091,Ojas Sura,doraarhaan@yahoo.com,Female,69,Kolkata,Divorced,1,2021-09-21,101,14476.47,16,5,1,1,511,Others,60+
CUST10092,Saksham Shah,yashvi61@doshi.com,Not Disclosed,47,Mumbai,Widowed,2,2020-10-27,92,17625.85,22,5,2,1,521,Others,45-60
CUST10093,Shalv Gara,iben@hotmail.com,Male,34,Pune,Single,2,2022-09-17,76,23731.27,26,4,4,3,443,Loyal Customers,30-45
CUST10094,Eshani Mammen,shanaya23@hayer-lad.com,Female,54,Mumbai,Single,2,2024-01-15,8,18993.77,20,1,2,2,122,Lost,45-60
CUST10095,Shray Bhatnagar,doctoryasmin@loke.com,Not Disclosed,26,Lucknow,Married,0,2020-12-27,3,31143.28,26,1,4,5,145,At Risk,<30
CUST10096,Purab Gaba,bordesamar@gaba.org,Female,43,Lucknow,Widowed,0,2021-12-06,21,24580.510000000002,28,2,5,4,254,At Risk,30-45
CUST10097,Ranbir Khatri,seher61@hotmail.com,Male,32,Pune,Single,0,2020-11-12,244,20866.06,19,5,1,2,512,Others,30-45
CUST10098,Himmat Bajwa,vardaniya39@hotmail.com,Female,50,Pune,Married,0,2023-12-25,20,25677.14,29,2,5,4,254,At Risk,45-60
CUST10099,Yasmin Rout,ddube@hotmail.com,Female,61,Pune,Married,2,2022-01-06,85,19215.59,20,5,2,2,522,Potential Loyalists,60+
CUST10100,Aniruddh Borah,jivikabhavsar@gmail.com,Female,53,Lucknow,Divorced,4,2022-01-08,11,22368.02,26,1,4,3,143,At Risk,45-60
CUST10101,Samiha Rao,mahajanpihu@saxena-bera.com,Male,21,Delhi,Divorced,0,2021-05-11,43,31308.12,30,4,5,5,455,Champions,<30
CUST10102,Mohanlal Mangal,sundarammadhav@tripathi.biz,Male,37,Ahmedabad,Divorced,2,2021-09-08,22,28145.06,25,2,4,5,245,At Risk,30-45
CUST10103,Aradhya Savant,krishram@yahoo.com,Female,28,Pune,Single,3,2020-08-31,6,17131.91,19,1,1,1,111,Lost,<30
CUST10104,Aarna Kara,yasminkhosla@hotmail.com,Not Disclosed,50,Lucknow,Widowed,0,2024-04-03,40,25287.92,29,3,5,4,354,Loyal Customers,45-60
CUST10105,Yuvraj  Chaudhuri,fkurian@jaggi.net,Female,45,Hyderabad,Single,1,2020-11-18,1,15460.380000000001,17,1,1,1,111,Lost,30-45
CUST10106,Arnav Goda,chandranrohan@hotmail.com,Female,63,Chennai,Widowed,1,2023-12-17,132,28357.190000000002,23,5,3,5,535,Loyal Customers,60+
CUST10107,Hrishita Bhasin,urvi89@hotmail.com,Male,52,Mumbai,Single,2,2023-07-07,31,29891.15,31,3,5,5,355,Loyal Customers,45-60
CUST10108,Hrishita Tank,alisha42@hotmail.com,Not Disclosed,24,Ahmedabad,Single,4,2021-10-10,59,17499.82,21,4,2,1,421,Others,<30
CUST10109,Ira Som,myra06@sahota.com,Male,67,Lucknow,Single,1,2022-06-19,16,19262.11,20,2,2,2,222,New Customers,60+
CUST10110,Raunak Sahni,bathaarush@desai-kata.com,Male,72,Kolkata,Widowed,1,2022-05-13,4,19104.42,19,1,1,2,112,Lost,60+
CUST10111,Myra Shere,vidur71@yahoo.com,Female,46,Bangalore,Widowed,4,2023-12-17,25,26939.12,29,3,5,4,354,Loyal Customers,45-60
CUST10112,Zeeshan Borah,pranaygour@raja.biz,Male,45,Lucknow,Widowed,3,2022-01-30,11,28662.05,24,1,3,5,135,At Risk,30-45
CUST10113,Seher Kade,xganesh@yahoo.com,Not Disclosed,36,Ahmedabad,Married,1,2021-09-02,6,29867.71,27,1,4,5,145,At Risk,30-45
CUST10114,Yakshit Sehgal,balayhansh@gmail.com,Not Disclosed,18,Hyderabad,Widowed,1,2021-06-28,105,23163.03,24,5,3,3,533,Loyal Customers,<30
CUST10115,Samiha Arya,indrans71@sachar-sengupta.com,Male,58,Lucknow,Married,2,2021-03-18,33,15766.28,18,3,1,1,311,Others,45-60
CUST10116,Dhruv Kala,hazelkakar@bajwa-sachdev.com,Male,29,Ahmedabad,Married,1,2024-02-15,17,26530.97,19,2,1,4,214,Others,<30
CUST10117,Oorja Shanker,piya42@swaminathan-sundaram.com,Female,37,Lucknow,Divorced,2,2023-09-13,3,23458.25,30,1,5,3,153,At Risk,30-45
CUST10118,Parinaaz Rout,qbhatia@din-sanghvi.net,Female,68,Bangalore,Divorced,1,2023-12-02,53,17262.89,19,4,1,1,411,Others,60+
CUST10119,Farhan Raman,bordeveer@hotmail.com,Male,67,Hyderabad,Widowed,0,2022-09-10,27,23284.31,22,3,2,3,323,Others,60+
CUST10120,Ivan Lad,isharaf@yahoo.com,Male,75,Mumbai,Single,1,2024-06-04,63,24587.02,17,4,1,4,414,Others,60+
CUST10121,Myra Wason,aradhya10@saha.com,Male,52,Ahmedabad,Married,0,2024-04-08,16,21757.67,24,2,3,3,233,At Risk,45-60
CUST10122,Rohan Sidhu,diyadevan@sastry-dasgupta.biz,Female,54,Ahmedabad,Widowed,1,2020-10-24,37,12595.31,12,3,1,1,311,Others,45-60
CUST10123,Onkar Chatterjee,latamahika@hotmail.com,Female,66,Jaipur,Divorced,0,2021-03-16,25,13590.87,17,3,1,1,311,Others,60+
CUST10124,Purab Dey,priyansh73@yahoo.com,Female,63,Pune,Divorced,1,2021-03-17,128,31363.84,30,5,5,5,555,Champions,60+
CUST10125,Nakul Gara,seherwable@saran.com,Female,39,Lucknow,Widowed,0,2022-02-20,57,20067.81,21,4,2,2,422,Potential Loyalists,30-45
CUST10126,Eva Sant,sakshamrastogi@khatri-gala.com,Female,42,Hyderabad,Single,4,2020-10-27,32,19025.72,19,3,1,2,312,Others,30-45
CUST10127,Rasha Dave,raviheer@bakshi.com,Not Disclosed,56,Jaipur,Married,4,2021-02-12,27,22845.44,25,3,4,3,343,Loyal Customers,45-60
CUST10128,Damini Mander,agade@gmail.com,Female,56,Jaipur,Widowed,3,2021-07-15,51,31648.97,23,4,3,5,435,Loyal Customers,45-60
CUST10129,Mannat Choudhary,ranbirsangha@vasa.org,Not Disclosed,37,Bangalore,Widowed,2,2024-01-26,8,19982.36,25,1,4,2,142,At Risk,30-45
CUST10130,Akarsh Bhat,hiran14@gmail.com,Not Disclosed,30,Chennai,Single,2,2023-08-19,69,23137.079999999998,25,4,4,3,443,Loyal Customers,<30
CUST10131,Shray Barad,doctorsamar@desai.com,Not Disclosed,45,Kolkata,Divorced,3,2023-06-22,5,32229.5,30,1,5,5,155,At Risk,30-45
CUST10132,Dhanush Boase,saira31@hotmail.com,Not Disclosed,64,Delhi,Widowed,4,2022-02-10,43,15169.539999999999,19,4,1,1,411,Others,60+
CUST10133,Aayush Kurian,godazaina@hotmail.com,Male,58,Ahmedabad,Single,1,2021-12-21,9,17839.95,22,1,2,1,121,Lost,45-60
CUST10134,Mahika Virk,rbath@hotmail.com,Not Disclosed,27,Kolkata,Divorced,2,2023-08-27,88,26477.91,28,5,5,4,554,Champions,<30
CUST10135,Jivika Kadakia,madhup48@gmail.com,Male,70,Lucknow,Single,1,2023-03-20,10,26564.24,30,1,5,4,154,At Risk,60+
CUST10136,Jayant Dara,idevan@dass.com,Female,69,Kolkata,Divorced,0,2020-10-20,25,29558.13,37,3,5,5,355,Loyal Customers,60+
CUST10137,Anika Bhatnagar,sharmaumang@gmail.com,Female,49,Bangalore,Widowed,1,2022-10-30,5,14635.65,14,1,1,1,111,Lost,45-60
CUST10138,Inaaya  Mall,alia22@mann.com,Female,50,Delhi,Widowed,0,2023-05-11,62,23618.99,20,4,2,3,423,Potential Loyalists,45-60
CUST10139,Tejas Wali,indransvala@yahoo.com,Male,60,Pune,Single,0,2022-08-19,81,22869.38,22,5,2,3,523,Potential Loyalists,45-60
CUST10140,Yuvaan Bhargava,ritvik90@agrawal.com,Not Disclosed,28,Delhi,Widowed,2,2024-02-13,40,18191.01,18,3,1,2,312,Others,<30
CUST10141,Amira Aurora,xdevi@yahoo.com,Female,56,Ahmedabad,Married,1,2022-03-10,105,26893.44,20,5,2,4,524,Potential Loyalists,45-60
CUST10142,Baiju Bawa,royrenee@hotmail.com,Male,74,Chennai,Divorced,0,2022-04-20,104,18384.71,21,5,2,2,522,Potential Loyalists,60+
CUST10143,Faiyaz Raj,ishita49@gokhale.com,Not Disclosed,71,Jaipur,Divorced,1,2020-07-29,33,24155.01,25,3,4,3,343,Loyal Customers,60+
CUST10144,Emir Mand,farhansoni@gmail.com,Not Disclosed,65,Mumbai,Married,0,2024-07-08,3,28005.14,31,1,5,5,155,At Risk,60+
CUST10145,Aarna Wable,nirvi09@yahoo.com,Not Disclosed,63,Jaipur,Divorced,1,2024-06-21,1,17762.440000000002,20,1,2,1,121,Lost,60+
CUST10146,Taimur Din,ssur@gmail.com,Not Disclosed,32,Kolkata,Widowed,0,2022-05-04,138,19410.93,20,5,2,2,522,Potential Loyalists,30-45
CUST10147,Bhavin Garde,inaaya-rout@kohli.com,Female,73,Lucknow,Divorced,2,2023-04-11,83,21808.06,24,5,3,3,533,Loyal Customers,60+
CUST10148,Anvi Yadav,lraval@sehgal-comar.com,Female,57,Hyderabad,Single,3,2023-01-20,40,33617.24,34,3,5,5,355,Loyal Customers,45-60
CUST10149,Shalv Saha,esharaf@koshy-sachdev.com,Not Disclosed,43,Chennai,Widowed,3,2021-08-18,49,24635.16,28,4,5,4,454,Champions,30-45
CUST10150,Yakshit Madan,ideol@ahuja.biz,Male,68,Ahmedabad,Married,0,2022-05-31,93,19246.11,19,5,1,2,512,Others,60+
CUST10151,Neysa Barad,ysinha@krishnamurthy.com,Not Disclosed,28,Lucknow,Widowed,1,2021-01-14,210,26887.19,25,5,4,4,544,Champions,<30
CUST10152,Indrans Lala,advik76@sarraf.com,Not Disclosed,27,Lucknow,Divorced,1,2024-06-23,3,29234.49,26,1,4,5,145,At Risk,<30
CUST10153,Aarush Magar,qbuch@garg.com,Male,26,Bangalore,Widowed,1,2022-11-11,33,20399.19,21,3,2,2,322,Others,<30
CUST10154,Jayant Guha,aaryahidalal@kuruvilla.com,Female,33,Delhi,Married,2,2020-11-24,272,20635.04,23,5,3,2,532,Potential Loyalists,30-45
CUST10155,Nishith Issac,mandernayantara@gmail.com,Female,22,Delhi,Married,1,2023-07-21,38,16764.21,19,3,1,1,311,Others,<30
CUST10156,Jhanvi Batta,ladnakul@gmail.com,Female,24,Bangalore,Single,0,2022-03-22,174,16016.11,17,5,1,1,511,Others,<30
CUST10157,Anahita Dewan,kimayabhavsar@hotmail.com,Not Disclosed,19,Hyderabad,Single,1,2020-08-30,2,23516.38,32,1,5,3,153,At Risk,<30
CUST10158,Trisha Loke,kmalhotra@hotmail.com,Not Disclosed,70,Lucknow,Widowed,1,2023-08-02,7,29484.010000000002,24,1,3,5,135,At Risk,60+
CUST10159,Zara Chaudhry,taran24@hotmail.com,Female,25,Lucknow,Married,0,2022-04-04,171,21495.83,20,5,2,3,523,Potential Loyalists,<30
CUST10160,Vanya Sen,shayak24@date-ghosh.biz,Female,32,Pune,Widowed,1,2021-10-06,70,33240.71,28,4,5,5,455,Champions,30-45
CUST10161,Abram Borde,mamooty31@luthra.net,Male,32,Hyderabad,Divorced,1,2021-10-05,296,28065.93,26,5,4,5,545,Champions,30-45
CUST10162,Kashvi Boase,msawhney@gmail.com,Not Disclosed,42,Hyderabad,Widowed,2,2022-05-26,42,16671.719999999998,15,3,1,1,311,Others,30-45
CUST10163,Indrans Srivastava,shenoyyuvaan@joshi-sanghvi.com,Female,49,Lucknow,Single,3,2023-03-27,13,25634.43,27,2,4,4,244,At Risk,45-60
CUST10164,Pari Luthra,vaibhavboase@chaudhuri-sahota.biz,Male,20,Mumbai,Single,3,2023-02-02,9,26321.66,21,1,2,4,124,Lost,<30
CUST10165,Mamooty Dixit,ayesha84@kurian.com,Female,74,Kolkata,Divorced,3,2022-02-03,11,19192.62,26,1,4,2,142,At Risk,60+
CUST10166,Akarsh Dhillon,tanya74@balakrishnan.com,Female,28,Bangalore,Single,0,2023-07-29,18,20249.47,20,2,2,2,222,New Customers,<30
CUST10167,Mohanlal Tara,varmaadira@raj.com,Male,74,Jaipur,Single,1,2021-04-03,25,15608.84,18,3,1,1,311,Others,60+
CUST10168,Gatik Zachariah,hsahota@talwar.org,Female,26,Delhi,Widowed,2,2022-09-20,50,11735.21,13,4,1,1,411,Others,<30
CUST10169,Saanvi Bhasin,esaini@rana.com,Female,75,Mumbai,Single,1,2021-08-28,75,19834.11,23,4,3,2,432,Potential Loyalists,60+
CUST10170,Oorja Sampath,xdevan@kade.info,Not Disclosed,71,Bangalore,Single,3,2023-04-16,59,18648.32,23,4,3,2,432,Potential Loyalists,60+
CUST10171,Kabir Mammen,cshetty@chhabra-hegde.net,Male,45,Delhi,Married,0,2020-12-27,70,26021.7,25,4,4,4,444,Champions,30-45
CUST10172,Nirvaan Batta,vaidyaaarna@chandra-chadha.org,Not Disclosed,26,Ahmedabad,Married,2,2024-01-27,32,33993.03,26,3,4,5,345,Loyal Customers,<30
